q_num,q_statement,A,B,C,D,ans,explain,E
1,"Under the shared responsibility model, which of the following is the customer responsible for?",Ensuring that disk drives are wiped after use.,Ensuring that firmware is updated on hardware devices.,Ensuring that data is encrypted at rest.,Ensuring that network cables are category six or higher., C, AWS for a self-hosted database that requires a nightly shutdown formaintenance and cost-saving purposes,
2,The use of what AWS feature or service allows companies to track and categorizespending on a detailed level?,Cost allocation tags,Consolidated billing,AWS Budgets,AWS Marketplace, A,https://aws.amazon.com/blogs/startups/how-to-set-aws-budget-when-paying-with-aws-credits/Using Cost Allocation Tags - You can use tags to organize your resources and costallocation tags to track your AWS costs on a detailed level.,
3,"Which service stores objects, provides real-time access to those objects, and offersversioning and lifecycle capabilities?",Amazon Glacier,AWS Storage Gateway,Amazon S3,Amazon EBS, C, https://aws.amazon.com/s3/faqs/,
4,What AWS team assists customers with accelerating cloud adoption through paidengagements in any of several specialty practice areas?,AWS Enterprise Support,AWS Solutions Architects,AWS Professional Services,AWS Account Managers, C, https://aws.amazon.com/professional-services/,
5,A customer would like to design and build a new workload on AWS Cloud but does nothave the AWS- related software technical expertise in-house.Which of the following AWS programs can a customer take advantage of to achieve thatoutcome?,AWS Partner Network Technology Partners,AWS Marketplace,AWS Partner Network Consulting Partners,AWS Service Catalog, C,,
6,Distributing workloads across multiple Availability Zones supports which cloudarchitecture design principle?,Implement automation.,Design for agility.,Design for failure.,Implement elasticity., C,,
7,Which AWS services can host a Microsoft SQL Server database? (Select TWO.),Amazon EC2,Amazon Relational Database Service (Amazon RDS),Amazon Aurora,Amazon Redshift, AB, https://aws.amazon.com/sql/,Amazon S3
8,Which of the following inspects AWS environments to find opportunities that can savemoney for users and also improve system performance?,AWS Cost Explorer,AWS Trusted Advisor,Consolidated billing,Detailed billing, B,,
9,Which of the following Amazon EC2 pricing models allow customers to use existingserver-bound software licenses?,Spot Instances,Reserved Instances,Dedicated Hosts,On-Demand Instances, C, https://aws.amazon.com/ec2/pricing/,
10,Which AWS characteristics make AWS cost effective for a workload with dynamic userdemand? (Select TWO.),High availability,Shared security model,Elasticity,Pay-as-you-go pricing, CD,,Reliability
11,"Which service enables risk auditing by continuously monitoring and logging accountactivity, including user actions in the AWS Management Console and AWSSDKs?",Amazon CloudWatch,AWS CloudTrail,AWS Config,AWS Health, B, https://aws.amazon.com/cloudtrail/,
12,Which of the following are characteristics of Amazon S3? (Select TWO.),A global file system,An object store,A local file store,A network file system, BE,,A durable storage system
13,Which services can be used across hybrid AWS Cloud architectures? (Select TWO.),Amazon Route 53,Virtual Private Gateway,Classic Load Balancer,Auto Scaling, AE,https://aws.amazon.com/cloudwatch/.You can also use CloudWatch in hybrid cloud architectures by using the CloudWatch Agent or API tomonitor your on-premises resources,Amazon CloudWatch default metrics
14,What costs are included when comparing AWS Total Cost of Ownership (TCO) with on-premises TCO?,Project management,Antivirus software licensing,Data center security,Software development, C,https://media.amazonwebservices.com/AWS_TCO_Web_Applications.pdf,
15,A company is considering using AWS for a self-hosted database that requires a nightly shutdown formaintenance and cost-saving purposes.Which service should the company use?,Amazon Redshift,Amazon DynamoDB,Amazon Elastic Compute Cloud (Amazon EC2) with Amazon EC2 instance store,Amazon EC2 with Amazon Elastic Block Store (Amazon EBS), D,,
16,"Which of the following is a correct relationship between regions, Availability Zones, and edge locations?",Data centers contain regions.,Regions contain Availability Zones.,Availability Zones contain edge locations.,Edge locations contain regions., B,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/#Region_Maps_and_Edge_Networks,
17,Which AWS tools assist with estimating costs? (Select three.),Detailed billing report,Cost allocation tags,AWS Simple Monthly Calculator,AWS Total Cost of Ownership (TCO) Calculator, BCD,https://aws.amazon.com/premiumsupport/knowledge-center/estimating-aws-resource-costs/,Cost Eliminator
18,Which of the following are advantages of AWS consolidated billing? (Select TWO.),The ability to receive one bill for multiple accounts,Service limits increasing by default in all accounts,A fixed discount on the monthly bill,"Potential volume discounts, as usage in all accounts is combined", AD,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html,The automatic extension of the master account's AWS support plan to all accounts
19,Which of the following Reserved Instance (RI) pricing models provides the highest average savingscompared to On-Demand pricing?,"One-year, No Upfront, Standard RI pricing","One-year, All Upfront, Convertible RI pricing","Three-year, All Upfront, Standard RI pricing","Three-year, No Upfront, Convertible RI pricing", C,https://aws.amazon.com/ec2/pricing/reserved-instances/pricing/,
20,"Compared with costs in traditional and virtualized data centers, AWS has:",greater variable costs and greater upfront costs.,fixed usage costs and lower upfront costs.,lower variable costs and greater upfront costs.,lower variable costs and lower upfront costs., D,https://d1.awsstatic.com/whitepapers/introduction-to-aws-cloud-economics-final.pdf (10),
21,A characteristic of edge locations is that they:,host Amazon EC2 instances closer to users.,help lower latency and improve performance for users.,cache frequently changing data without reaching the origin server.,refresh data changes daily., B,,
22,Which of the following can limit Amazon Storage Service (Amazon S3) bucket access tospecific users?,A public and private key-pair,Amazon Inspector,AWS Identity and Access Management (IAM) policies,Security Groups, C,https://aws.amazon.com/blogs/security/how-to-restrict-amazon-s3-bucket-access-to-a-specific-iam-role/,
23,Which of the following security-related actions are available at no cost?,Calling AWS Support,Contacting AWS Professional Services to request a workshop,"Accessing forums, blogs, and whitepapers",Attending AWS classes at a local university, C,,
24,Which of the Reserved Instance (RI) pricing models can change the attributes of the RI aslong as the exchange results in the creation of RIs of equal or greatervalue?,Dedicated RIs,Scheduled RIs,Convertible RIs,Standard RIs, C,https://aws.amazon.com/ec2/pricing/reserved-instances/,
25,Which AWS feature will reduce the customer's total cost of ownership (TCO)?,Shared responsibility security model,Single tenancy,Elastic computing,Encryption, C,,
